Delta_Time,Sample_Rate,MCC
15,0.5,0.1539427680422739
30,0.5,0.3176818630814597
45,0.5,0.21669515714846954
60,0.5,0.4714045207910317
75,0.5,0.6546536707079771
90,0.5,0.4698714938993648
105,0.5,0.7222222222222222
120,0.5,0.5345224838248488
135,0.5,0.47140452079103173
150,0.5,0.5773502691896258
165,0.5,0.0
180,0.5,0.0
15,1.0,0.21371094681796524
30,1.0,0.40553985723986546
45,1.0,0.12329571847516523
60,1.0,0.39329170163264243
75,1.0,0.5091750772173156
90,1.0,0.5890150893739515
105,1.0,0.600099198148979
120,1.0,0.5345224838248488
135,1.0,0.47140452079103173
150,1.0,0.5773502691896258
165,1.0,0.0
180,1.0,0.0
15,2.0,0.2106109099277087
30,2.0,0.319027008443979
45,2.0,0.18581403127845014
60,2.0,0.3883333333333333
75,2.0,0.5447047794019222
90,2.0,0.5737128161373645
105,2.0,0.600099198148979
120,2.0,0.8017837257372732
135,2.0,0.47140452079103173
150,2.0,0.5773502691896258
165,2.0,0.0
180,2.0,0.0
15,3.0,0.19574867951433322
30,3.0,0.299151974177236
45,3.0,0.14431119704646977
60,3.0,0.3231832781909825
75,3.0,0.5601675975251952
90,3.0,0.5966386554621849
105,3.0,0.600099198148979
120,3.0,0.5
135,3.0,0.47140452079103173
150,3.0,0.5773502691896258
165,3.0,0.0
180,3.0,0.0
15,5.0,0.15274917588610926
30,5.0,0.27540914257941207
45,5.0,0.09557242498741929
60,5.0,0.3883333333333333
75,5.0,0.5091750772173156
90,5.0,0.5733162099493055
105,5.0,0.600099198148979
120,5.0,0.5345224838248488
135,5.0,0.47140452079103173
150,5.0,0.5773502691896258
165,5.0,0.0
180,5.0,0.0
