Delta_Time,Sample_Rate,MCC
15,0.5,0.24795373943881724
30,0.5,0.3633169326111494
45,0.5,0.3588417335162613
60,0.5,0.5299873094401923
75,0.5,0.55
90,0.5,0.4459079392444798
105,0.5,0.15118578920369088
120,0.5,0.3721042037676254
135,0.5,0.23904572186687875
150,0.5,0.181848241863327
165,0.5,0.0
180,0.5,0.3535533905932738
15,1.0,0.2165240625917562
30,1.0,0.41942884785189255
45,1.0,0.26332057860796426
60,1.0,0.5101007903236693
75,1.0,0.530761073434338
90,1.0,0.28348124864185137
105,1.0,0.15118578920369088
120,1.0,0.3089682853364634
135,1.0,0.23904572186687875
150,1.0,0.29012942659282975
165,1.0,0.4923659639173309
180,1.0,0.5976143046671968
15,2.0,0.2277256063559207
30,2.0,0.36745561482334305
45,2.0,0.22846838336584388
60,2.0,0.5276424204893713
75,2.0,0.530761073434338
90,2.0,0.41353383458646614
105,2.0,0.3981380814347516
120,2.0,0.3089682853364634
135,2.0,0.23904572186687875
150,2.0,0.408491223118783
165,2.0,0.3202563076101743
180,2.0,0.0
15,3.0,0.18783867204990726
30,3.0,0.3377579817071806
45,3.0,0.21751677158165436
60,3.0,0.41326070764049183
75,3.0,0.4396537894132775
90,3.0,0.4088110634128688
105,3.0,0.2292279532375023
120,3.0,0.062017367294604234
135,3.0,0.3464101615137754
150,3.0,0.0
165,3.0,0.32732683535398854
180,3.0,0.0
15,5.0,0.18915418063550127
30,5.0,0.2672456779551952
45,5.0,0.288169086762677
60,5.0,0.4693988996502254
75,5.0,0.55
90,5.0,0.4459079392444798
105,5.0,0.2766992952647332
120,5.0,0.17541160386140583
135,5.0,0.2797154638927579
150,5.0,0.2916666666666667
165,5.0,0.28867513459481287
180,5.0,0.0
